City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,-2.7,92,100,8.64,IS,['dt']
1,waitangi,-43.9535,-176.5597,13.79,98,85,2.24,NZ,['dt']
2,saint croix,17.7397,-64.7388,26.25,89,75,2.06,VI,['dt']
3,saquarema,-22.92,-42.5103,22.54,92,100,6.34,BR,['dt']
4,utrik,11.2278,169.8474,28.4,74,7,6.31,MH,['dt']
5,grytviken,-54.2811,-36.5092,3.81,81,100,3.9,GS,['dt']
6,posto fiscal rolim de moura,-13.0833,-62.2667,23.13,94,99,0.95,BR,['dt']
7,longyearbyen,78.2186,15.6401,-5.09,50,75,9.26,SJ,['dt']
8,hamilton,39.1834,-84.5333,10.43,88,100,3.09,US,['dt']
9,port-aux-francais,-49.35,70.2167,6.53,95,100,18.69,TF,['dt']
10,thompson,55.7435,-97.8558,-3.91,93,100,3.09,CA,['dt']
11,gaigeturi,33.4644,126.3183,20.03,83,75,6.69,KR,['dt']
12,klyuchi,52.2667,79.1667,-6.84,93,64,4.48,RU,['dt']
13,banda aceh,5.5577,95.3222,26.79,81,36,2.56,ID,['dt']
14,kodiak,57.79,-152.4072,3.73,70,100,3.6,US,['dt']
15,sandakan,5.8402,118.1179,28.82,83,20,2.68,MY,['dt']
16,cajabamba,-7.6167,-78.05,14.62,52,80,2.54,PE,['dt']
17,midvagur,62.0511,-7.1939,2.46,69,75,15.43,FO,['dt']
18,yellowknife,62.456,-114.3525,-2.55,96,75,6.71,CA,['dt']
19,nagqu,31.5,92.0,-4.49,24,6,0.76,CN,['dt']
20,ilulissat,69.2167,-51.1,-9.99,34,37,1.03,GL,['dt']
21,bandar abbas,27.1865,56.2808,19.99,83,0,2.06,IR,['dt']
22,avarua,-21.2078,-159.775,25.03,65,40,6.69,CK,['dt']
23,edinburgh of the seven seas,-37.0676,-12.3116,13.9,80,16,6.99,SH,['dt']
24,sao joao da barra,-21.6403,-41.0511,24.09,87,100,8.15,BR,['dt']
