City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,colwyn bay,53.2948,-3.7267,12.64,89,99,4.02,GB,1731724459
1,kodiak,57.79,-152.4072,1.73,75,0,6.69,US,1731724205
2,el reno,35.5323,-97.955,14.62,50,0,5.66,US,1731724462
3,vadso,70.0744,29.7487,1.09,86,100,4.12,NO,1731724463
4,thompson,55.7435,-97.8558,-2.91,93,100,2.57,CA,1731724464
5,adamstown,-25.066,-130.1015,23.5,84,11,3.8,PN,1731724465
6,alesund,62.4723,6.1549,5.56,72,75,14.92,NO,1731724466
7,nosy varika,-20.5833,48.5333,23.69,75,68,0.86,MG,1731724468
8,malkapur,20.8833,76.2,23.91,51,18,3.21,IN,1731724469
9,filadelfia,39.9523,-75.1638,9.98,77,0,4.63,US,1731724310
10,west island,-12.1568,96.8225,27.99,83,20,8.23,CC,1731724472
11,waitangi,-43.9535,-176.5597,12.12,98,79,2.68,NZ,1731724473
12,withernsea,53.7311,0.0335,10.53,89,83,5.59,GB,1731724475
13,bethel,41.3712,-73.414,8.95,42,0,2.06,US,1731724478
14,conceicao do rio verde,-21.8808,-45.0853,18.02,94,100,1.85,BR,1731724479
15,tura,25.5198,90.2201,23.44,64,1,0.31,IN,1731724481
16,margaret river,-33.95,115.0667,16.44,48,28,6.19,AU,1731724482
17,lihue,21.9789,-159.3672,26.77,71,100,8.23,US,1731724485
18,invercargill,-46.4,168.35,13.34,48,62,4.02,NZ,1731724486
19,port-aux-francais,-49.35,70.2167,6.71,95,100,19.34,TF,1731724487
20,howrah,22.5892,88.3103,24.0,60,0,2.57,IN,1731724488
21,bernay,49.1667,0.6667,6.18,92,66,1.46,FR,1731724492
22,chulakkurgan,43.765,69.1814,0.06,53,81,1.09,KZ,1731724493
23,camabatela,-8.1881,15.375,16.85,100,100,0.71,AO,1731724494
24,apac,1.9756,32.5386,18.95,96,100,1.72,UG,1731724498
25,wailua homesteads,22.0669,-159.378,26.44,77,100,8.23,US,1731724500
26,punta arenas,-53.15,-70.9167,4.06,75,20,12.35,CL,1731724502
27,weno,7.4515,151.8468,28.62,74,99,5.6,FM,1731724503
28,yuzhno-kurilsk,44.0306,145.8556,7.86,56,2,0.47,RU,1731724504
29,dudinka,69.4058,86.1778,-18.87,96,100,8.67,RU,1731724505
30,nuuk,64.1835,-51.7216,0.34,100,100,9.77,GL,1731724506
31,teloloapan,18.35,-99.85,15.81,71,15,1.4,MX,1731724508
32,boa vista,2.8197,-60.6733,28.99,65,20,2.57,BR,1731724509
33,hasaki,35.7333,140.8333,20.06,60,91,6.97,JP,1731724510
34,chui,-33.6971,-53.4616,18.55,88,2,5.79,UY,1731724484
35,yeniseysk,58.4497,92.1703,-11.96,91,100,3.26,RU,1731724513
36,port mathurin,-19.6833,63.4167,24.42,76,48,9.65,MU,1731724514
37,hami,42.8,93.45,1.94,33,0,4.51,CN,1731724515
38,grootfontein,-19.5667,18.1167,18.76,68,74,1.03,NA,1731724517
39,ushuaia,-54.8,-68.3,2.81,87,40,10.8,AR,1731724488
40,vorgashor,67.5833,63.95,-5.76,97,100,2.67,RU,1731724519
41,cabo san lucas,22.8909,-109.9124,24.31,61,0,4.12,MX,1731724520
42,papatowai,-46.5619,169.4708,11.03,45,75,5.39,NZ,1731724521
43,kapa'a,22.0752,-159.319,27.18,75,100,8.23,US,1731724523
44,iqaluit,63.7506,-68.5145,-5.15,92,100,5.66,CA,1731724524
45,bonthe,7.5264,-12.505,25.72,85,64,0.56,SL,1731724525
46,port saint john's,-31.6229,29.5448,20.51,91,4,2.07,ZA,1731724526
47,amga,60.8953,131.9608,-23.25,97,100,0.32,RU,1731724528
48,vila velha,-20.3297,-40.2925,22.97,94,40,1.54,BR,1731724529
49,sanandaj,35.3144,46.9923,0.01,93,0,0.0,IR,1731724530
50,nar'yan-mar,67.6713,53.087,-3.64,96,100,4.06,RU,1731724531
51,blackmans bay,-43.0167,147.3167,23.18,52,100,1.13,AU,1731724533
